frame_num,frame_path,left_elbow_angle,right_elbow_angle,left_knee_angle,right_knee_angle,shoulder_rotation,hip_rotation,trunk_separation,left_wrist_height,right_wrist_height
1,frame_0001.jpg,,,,,,,,,
2,frame_0002.jpg,,,,,,,,,
3,frame_0003.jpg,,,,,,,,,
4,frame_0004.jpg,,,,,,,,,
5,frame_0005.jpg,,,,,,,,,
6,frame_0006.jpg,,,,,,,,,
7,frame_0007.jpg,,,,,,,,,
8,frame_0008.jpg,,,,,,,,,
9,frame_0009.jpg,,,,,,,,,
10,frame_0010.jpg,,,,,,,,,
11,frame_0011.jpg,,,,,,,,,
12,frame_0012.jpg,,,,,,,,,
13,frame_0013.jpg,,,,,,,,,
14,frame_0014.jpg,,,,,,,,,
15,frame_0015.jpg,,,,,,,,,
16,frame_0016.jpg,,,,,,,,,
17,frame_0017.jpg,,,,,,,,,
18,frame_0018.jpg,,,,,,,,,
19,frame_0019.jpg,,,,,,,,,
20,frame_0020.jpg,,,,,,,,,
21,frame_0021.jpg,,,,,,,,,
22,frame_0022.jpg,,,,,,,,,
23,frame_0023.jpg,,,,,,0.3,,,
24,frame_0024.jpg,,126.9,,,,2.3,,,0.3
25,frame_0025.jpg,,142.4,,,,6.0,,,0.3
26,frame_0026.jpg,160.1,150.4,,,0.1,0.8,0.7,0.4,0.3
27,frame_0027.jpg,,152.5,,,,3.8,,0.4,0.3
28,frame_0028.jpg,,,,,,,,,
29,frame_0029.jpg,,150.3,,,,17.7,,0.3,0.3
30,frame_0030.jpg,,153.5,,,,8.7,,0.4,0.3
31,frame_0031.jpg,152.8,153.1,,,0.6,11.9,11.3,0.4,0.3
32,frame_0032.jpg,146.4,154.2,,,0.1,3.2,3.1,0.4,0.3
33,frame_0033.jpg,137.8,155.9,,,0.2,9.5,9.3,0.4,0.3
34,frame_0034.jpg,143.1,158.3,,,1.5,0.8,0.7,0.4,0.3
35,frame_0035.jpg,157.9,163.7,,,2.0,5.1,3.0,0.4,0.3
36,frame_0036.jpg,165.1,177.1,,,0.5,0.0,,0.4,0.3
37,frame_0037.jpg,157.3,176.8,,,3.8,12.8,9.0,0.4,0.3
38,frame_0038.jpg,142.1,170.8,,,5.4,10.9,5.4,0.3,0.3
39,frame_0039.jpg,155.0,174.9,,,13.0,7.8,5.2,0.4,0.3
40,frame_0040.jpg,,177.2,,,16.8,2.5,14.2,,0.3
41,frame_0041.jpg,,177.9,,,18.5,0.4,18.1,,0.3
42,frame_0042.jpg,,179.7,,,0.8,3.8,3.0,,0.3
43,frame_0043.jpg,80.8,171.8,,,4.3,0.6,3.7,0.3,0.3
44,frame_0044.jpg,86.7,163.6,,,2.5,9.5,7.0,0.3,0.4
45,frame_0045.jpg,,170.0,,,5.2,2.4,2.8,,0.4
46,frame_0046.jpg,,166.7,,,2.2,2.5,0.3,,0.4
47,frame_0047.jpg,134.2,167.7,,,1.1,26.3,25.2,0.4,0.4
48,frame_0048.jpg,146.5,171.9,,,11.3,12.5,1.2,0.4,0.4
49,frame_0049.jpg,105.3,129.4,,,75.3,14.4,60.9,0.3,0.3
50,frame_0050.jpg,106.2,40.4,,,114.7,152.7,38.0,0.3,0.0
51,frame_0051.jpg,,36.3,,,83.8,114.3,30.5,,0.1
52,frame_0052.jpg,,149.0,113.5,,22.0,16.1,5.9,,0.5
53,frame_0053.jpg,,8.1,,,10.4,12.3,1.9,,0.1
54,frame_0054.jpg,,,,,,,,,
55,frame_0055.jpg,,,,,,,,,
56,frame_0056.jpg,,,,,,,,,
57,frame_0057.jpg,,,,,,,,,
58,frame_0058.jpg,,,,,,,,,
59,frame_0059.jpg,,,,,,,,,
60,frame_0060.jpg,122.9,,,,,,,0.3,0.1
61,frame_0061.jpg,,,,,76.5,,,,
62,frame_0062.jpg,,163.7,,,51.6,,,,0.6
63,frame_0063.jpg,,9.2,,,,,,,0.2
64,frame_0064.jpg,,,,,,,,,
65,frame_0065.jpg,,,,,,,,,
