frame_num,frame_path,left_elbow_angle,right_elbow_angle,left_knee_angle,right_knee_angle,shoulder_rotation,hip_rotation,trunk_separation,left_wrist_height,right_wrist_height
1,frame_0001.jpg,,,,,,,,,
2,frame_0002.jpg,,,,,,,,,
3,frame_0003.jpg,,,,,,,,,
4,frame_0004.jpg,,,,,,,,,
5,frame_0005.jpg,,,,,,,,,
6,frame_0006.jpg,,,,,,,,,
7,frame_0007.jpg,,,,,,,,,
8,frame_0008.jpg,,,,,,,,,
9,frame_0009.jpg,,,,,,,,,
10,frame_0010.jpg,,,,,,,,,
11,frame_0011.jpg,,,,,,,,,
12,frame_0012.jpg,,,,,,,,,
13,frame_0013.jpg,,,,,,,,,
14,frame_0014.jpg,,,,,,,,,
15,frame_0015.jpg,,,,,,,,,
16,frame_0016.jpg,,,,,,,,,
17,frame_0017.jpg,,,,,,,,,
18,frame_0018.jpg,,,,,,,,,
19,frame_0019.jpg,,,,,,,,,
20,frame_0020.jpg,,,,,,,,,
21,frame_0021.jpg,,,,,,,,,
22,frame_0022.jpg,,,,,,,,,
23,frame_0023.jpg,,,,,,,,,
24,frame_0024.jpg,,,,,,,,,
25,frame_0025.jpg,,,,,,,,,
26,frame_0026.jpg,,,,,,,,,
27,frame_0027.jpg,,,,,,,,,
28,frame_0028.jpg,,,,,,,,,
29,frame_0029.jpg,,,,,,,,,
30,frame_0030.jpg,,123.6,,,,,,,0.5
31,frame_0031.jpg,,150.9,,,164.7,151.8,12.9,0.7,0.5
32,frame_0032.jpg,133.6,,,,4.9,14.0,9.1,0.5,0.5
33,frame_0033.jpg,78.5,,,,,7.0,,0.2,
34,frame_0034.jpg,69.5,,,,13.5,10.3,3.2,0.3,
35,frame_0035.jpg,92.5,,,,18.3,8.4,9.8,0.4,
36,frame_0036.jpg,96.7,,,,29.8,2.4,27.5,0.5,0.4
37,frame_0037.jpg,117.7,,,,18.5,3.7,14.7,0.5,
38,frame_0038.jpg,157.1,,,,15.4,7.7,7.6,0.5,
39,frame_0039.jpg,,,,,5.3,,,,
40,frame_0040.jpg,174.4,,,,6.6,,,0.6,
41,frame_0041.jpg,160.2,,,,,,,0.7,
42,frame_0042.jpg,,,,,4.5,,,,
43,frame_0043.jpg,89.5,,,,2.8,,,0.5,
44,frame_0044.jpg,178.4,,,,,,,0.4,
45,frame_0045.jpg,132.5,,,,,4.0,,0.2,
46,frame_0046.jpg,58.1,,,,113.3,149.9,36.6,0.2,0.2
47,frame_0047.jpg,,89.7,,,,,,0.2,0.2
48,frame_0048.jpg,,94.0,,,,,,0.2,0.2
49,frame_0049.jpg,,,,,,,,,
50,frame_0050.jpg,,,,,,,,,
51,frame_0051.jpg,138.7,,,,,,,0.6,0.5
52,frame_0052.jpg,175.8,149.6,,,61.6,,,0.7,0.7
53,frame_0053.jpg,175.8,,,,,,,0.5,
54,frame_0054.jpg,170.2,,,,21.9,,,0.1,
55,frame_0055.jpg,152.7,,,,45.4,13.7,31.7,0.0,
56,frame_0056.jpg,,,,,,,,,
57,frame_0057.jpg,,,,,,,,,
58,frame_0058.jpg,46.6,,,,64.8,,,0.1,
59,frame_0059.jpg,60.1,,,,34.1,,,0.2,0.3
60,frame_0060.jpg,134.3,,,,15.4,,,0.5,0.6
61,frame_0061.jpg,173.8,,,,22.8,,,0.7,
62,frame_0062.jpg,178.2,,,,10.0,,,0.7,
63,frame_0063.jpg,147.0,,,,8.6,,,0.6,
64,frame_0064.jpg,,,,,,,,,
65,frame_0065.jpg,9.1,,,,15.9,,,0.4,
66,frame_0066.jpg,146.0,,,,,,,0.3,
67,frame_0067.jpg,,,,,,147.9,,0.1,0.1
68,frame_0068.jpg,,84.2,,,,160.3,,0.1,0.1
69,frame_0069.jpg,,91.0,,,,,,0.2,0.1
70,frame_0070.jpg,,,,,,,,,
71,frame_0071.jpg,,,,,,,,,
72,frame_0072.jpg,160.0,,,,6.5,,,0.6,0.6
73,frame_0073.jpg,,,,,,,,,
